Project,Field,Lat,Lon
Sustainable NW Project,SNW-Field-3,45.50926276,-117.0090764
Sustainable NW Project,SNW-Field-4,42.62504809,-121.9428178
Sustainable NW Project,SNW-Field-5,42.62944867,-121.948497
Sustainable NW Project,SNW-Field-6,42.61100925,-121.9425818
Sustainable NW Project,SNW-Field-7,42.63131317,-121.9435679
Sustainable NW Project,SNW-Field-11,42.61235311,-121.9451232
Sustainable NW Project,SNW-Field-8,42.51339086,-121.9061172
Sustainable NW Project,SNW-Field-9,45.37840529,-120.4551674
Sustainable NW Project,SNW-Field-10,45.36643748,-120.4490178
