Project,Field,Lat,Lon
TNC Minnesota Project,TNCMN-Field-1,45.94450183,-94.32716208
TNC Minnesota Project,TNCMN-Field-2,45.94279926,-94.32915897
TNC Minnesota Project,TNCMN-Field-3,45.9393732,-94.32887404
TNC Minnesota Project,TNCMN-Field-4,45.93844776,-94.33179421
TNC Minnesota Project,TNCMN-Field-5,45.39379674,-94.35651167
TNC Minnesota Project,TNCMN-Field-6,45.74366224,-94.73231343
TNC Minnesota Project,TNCMN-Field-7,45.57863693,-94.61289807
TNC Minnesota Project,TNCMN-Field-8,45.53522608,-94.6173672
TNC Minnesota Project,TNCMN-Field-9,45.93754255,-94.46768123
