producer_id,field_id,year,Core #,SHAC #,Depth (cm),lon,lat,soc,bd,soc_tha,tot_P,pH,,,,,,,,,,,,,,,
GMP-Producer-12,GMP-Field-51,2020,6176,KS20-0039,30 - 50,,,0.85999999999999999,1.618537447163866,42.426398395016989,,,,,,,,,,,,,,,,,
GMP-Producer-12,GMP-Field-51,2020,6176,KS20-0040,50 - 100,,,0.23999999999999999,1.7264083578029401,12.629022419000068,,,,,,,,,,,,,,,,,
GMP-Producer-12,GMP-Field-51,2020,6177,KS20-0041,0 - 15,,,0.70999999999999996,1.6409676922651808,35.511853634772322,,,,,,,,,,,,,,,,,
GMP-Producer-12,GMP-Field-51,2020,6177,KS20-0042,15 - 30,,,0.56999999999999995,1.7935007367549347,31.159564400085532,,,,,,,,,,,,,,,,,
GMP-Producer-12,GMP-Field-51,2020,6177,KS20-0043,30 - 50,,,0.56999999999999995,1.6477816627888433,28.627899496628245,,,,,,,,,,,,,,,,,
GMP-Producer-12,GMP-Field-51,2020,6177,KS20-0044,50 - 100,,,0.22,1.6554371871161222,11.100699601925871,,,,,,,,,,,,,,,,,
GMP-Producer-12,GMP-Field-51,2020,6178,KS20-0045,0 - 15,,,0.59999999999999998,1.8017231687527488,32.949913310150272,,,,,,,,,,,,,,,,,
GMP-Producer-12,GMP-Field-51,2020,6178,KS20-0046,15 - 30,,,0.76000000000000001,1.6038455230734421,37.152760772891675,,,,,,,,,,,,,,,,,
GMP-Producer-12,GMP-Field-51,2020,6178,KS20-0047,30 - 50,,,0.53000000000000003,1.6218459178972262,26.199947696078951,,,,,,,,,,,,,,,,,
GMP-Producer-12,GMP-Field-51,2020,6178,KS20-0048,50 - 100,,,0.17000000000000001,1.6969649070581971,8.792993362412755,,,,,,,,,,,,,,,,,
GMP-Producer-12,GMP-Field-51,2020,6179,KS20-0049,0 - 15,,,0.64000000000000001,1.4705631180288035,28.686568856011476,,,,,,,,,,,,,,,,,
GMP-Producer-12,GMP-Field-51,2020,6179,KS20-0050,15 - 30,,,0.59999999999999998,1.7442242112414974,31.898372375184504,,,,,,,,,,,,,,,,,
GMP-Producer-12,GMP-Field-51,2020,6179,KS20-0051,30 - 50,,,0.67000000000000004,1.6262853865855429,33.211349650695325,,,,,,,,,,,,,,,,,
GMP-Producer-12,GMP-Field-51,2020,6179,KS20-0052,50 - 100,,,0.33000000000000002,1.5809454393434925,15.901781607092587,,,,,,,,,,,,,,,,,
GMP-Producer-12,GMP-Field-51,2020,6180,KS20-0053,0 - 15,,,0.63,1.5555379280030013,29.870061508684831,,,,,,,,,,,,,,,,,
GMP-Producer-12,GMP-Field-51,2020,6180,KS20-0054,15 - 30,,,0.52000000000000002,1.8139769043430347,28.750808343075366,,,,,,,,,,,,,,,,,
GMP-Producer-12,GMP-Field-51,2020,6180,KS20-0055,30 - 50,,,0.76000000000000001,1.6533603853841252,38.299762655346193,,,,,,,,,,,,,,,,,
GMP-Producer-12,GMP-Field-51,2020,6180,KS20-0056,50 - 100,,,0.33000000000000002,1.5802630587361859,15.894917949992054,,,,,,,,,,,,,,,,,
GMP-Producer-12,GMP-Field-51,2020,6181,KS20-0057,0 - 15,,,0.56999999999999995,1.6431983476761189,28.548270813185816,,,,,,,,,,,,,,,,,
GMP-Producer-12,GMP-Field-51,2020,6181,KS20-0058,15 - 30,,,0.42999999999999999,1.7858777080078745,23.406427592234408,,,,,,,,,,,,,,,,,
