field_id,year,core_id,lat,lon,shac_id,depth,soc,bd
GMP-Field-51,2020,6178,37.9172504,-98.1126714,KS20-0048,50 - 100,0.17000000000000001,1.6969649070581971
GMP-Field-51,2020,6179,37.91708501,-98.112685,KS20-0049,0 - 15,0.64000000000000001,1.4705631180288035
GMP-Field-51,2020,6179,37.91708501,-98.112685,KS20-0050,15 - 30,0.59999999999999998,1.7442242112414974
GMP-Field-51,2020,6179,37.91708501,-98.112685,KS20-0051,30 - 50,0.67000000000000004,1.6262853865855429
GMP-Field-51,2020,6179,37.91708501,-98.112685,KS20-0052,50 - 100,0.33000000000000002,1.5809454393434925
GMP-Field-51,2020,6180,37.91699439,-98.1139052,KS20-0053,0 - 15,0.63,1.5555379280030013
GMP-Field-51,2020,6180,37.91699439,-98.1139052,KS20-0054,15 - 30,0.52000000000000002,1.8139769043430347
GMP-Field-51,2020,6180,37.91699439,-98.1139052,KS20-0055,30 - 50,0.76000000000000001,1.6533603853841252
GMP-Field-51,2020,6180,37.91699439,-98.1139052,KS20-0056,50 - 100,0.33000000000000002,1.5802630587361859
GMP-Field-51,2020,6181,37.91673023,-98.11412938,KS20-0057,0 - 15,0.56999999999999995,1.6431983476761189
GMP-Field-51,2020,6181,37.91673023,-98.11412938,KS20-0058,15 - 30,0.42999999999999999,1.7858777080078745
GMP-Field-51,2020,6181,37.91673023,-98.11412938,KS20-0059,30 - 50,0.81999999999999995,1.5960415743658549
GMP-Field-51,2020,6181,37.91673023,-98.11412938,KS20-0060,50 - 100,0.41999999999999998,1.5461980275155967
GMP-Field-51,2020,6182,37.91616681,-98.11301009,KS20-0061,0 - 15,0.60999999999999999,1.6520880043274142
GMP-Field-51,2020,6182,37.91616681,-98.11301009,KS20-0062,15 - 30,0.40000000000000002,1.7199672415157563
GMP-Field-51,2020,6182,37.91616681,-98.11301009,KS20-0063,30 - 50,0.46000000000000002,1.6599308561855239
GMP-Field-51,2020,6182,37.91616681,-98.11301009,KS20-0064,50 - 100,0.25,1.4049813983758492
GMP-Field-51,2020,6183,37.91661904,-98.11269,KS20-0065,0 - 15,0.40999999999999998,1.5880451920923204
GMP-Field-51,2020,6183,37.91661904,-98.11269,KS20-0066,15 - 30,0.56000000000000005,1.7109345601721901
GMP-Field-51,2020,6183,37.91661904,-98.11269,KS20-0067,30 - 50,0.44,1.6025095426631639
GMP-Field-51,2020,6183,37.91661904,-98.11269,KS20-0068,50 - 100,0.20000000000000001,1.6253566545316949
GMP-Field-51,2020,6184,37.9170599,-98.11152818,KS20-0069,0 - 15,0.68000000000000005,1.4252576727334876
GMP-Field-51,2020,6184,37.9170599,-98.11152818,KS20-0070,15 - 30,0.48999999999999999,1.7189053479300467
GMP-Field-51,2020,6184,37.9170599,-98.11152818,KS20-0071,30 - 50,0.46000000000000002,1.6850062506720076
GMP-Field-51,2020,6184,37.9170599,-98.11152818,KS20-0072,50 - 100,0.40999999999999998,1.6995990882693783
GMP-Field-51,2020,6185,37.91595087,-98.10971693,KS20-0073,0 - 15,0.92000000000000004,1.4467507095020589
GMP-Field-51,2020,6185,37.91595087,-98.10971693,KS20-0074,15 - 30,0.96999999999999997,1.4733665348026601
GMP-Field-51,2020,6185,37.91595087,-98.10971693,KS20-0075,30 - 50,1.0700000000000001,1.4524893242363606
GMP-Field-51,2020,6185,37.91595087,-98.10971693,KS20-0076,50 - 100,0.33000000000000002,1.7037455013585114
GMP-Field-51,2020,6186,37.9157823,-98.10971323,KS20-0077,0 - 15,0.81000000000000005,1.6631314320122321
GMP-Field-51,2020,6186,37.9157823,-98.10971323,KS20-0078,15 - 30,0.56000000000000005,1.5941569467385635
GMP-Field-51,2020,6186,37.9157823,-98.10971323,KS20-0079,30 - 50,0.41999999999999998,1.6557382302399211
GMP-Field-51,2020,6186,37.9157823,-98.10971323,KS20-0080,50 - 100,0.17999999999999999,1.7425105266180003
GMP-Field-51,2020,6187,37.91614393,-98.10848714,KS20-0081,0 - 15,1.3999999999999999,1.2970226225430561
GMP-Field-51,2020,6187,37.91614393,-98.10848714,KS20-0082,15 - 30,1.1499999999999999,1.6890947384464012
GMP-Field-51,2020,6187,37.91614393,-98.10848714,KS20-0083,30 - 50,0.77000000000000002,1.4569146169924441
GMP-Field-51,2020,6187,37.91614393,-98.10848714,KS20-0084,50 - 100,0.33000000000000002,1.7453156079698986
GMP-Field-51,2020,6188,37.9160528,-98.10822957,KS20-0085,0 - 15,1.3400000000000001,1.37632870879416
GMP-Field-51,2020,6188,37.9160528,-98.10822957,KS20-0086,15 - 30,1.0800000000000001,1.5088520184830785
GMP-Field-51,2020,6188,37.9160528,-98.10822957,KS20-0087,30 - 50,0.63,1.6261235887771832
GMP-Field-51,2020,6188,37.9160528,-98.10822957,KS20-0088,50 - 100,0.28999999999999998,1.6513088744148137
GMP-Field-51,2020,6189,37.91649741,-98.10844532,KS20-0089,0 - 15,0.87,1.6289111600129356
GMP-Field-51,2020,6189,37.91649741,-98.10844532,KS20-0090,15 - 30,1.4099999999999999,1.5880418276266464
GMP-Field-51,2020,6189,37.91649741,-98.10844532,KS20-0091,30 - 50,1.0900000000000001,1.4653740131860737
GMP-Field-51,2020,6189,37.91649741,-98.10844532,KS20-0092,50 - 100,0.46000000000000002,1.6158083584217078
GMP-Field-51,2020,6190,37.91658487,-98.1080078,KS20-0093,0 - 15,0.95999999999999996,1.5512051132075868
GMP-Field-51,2020,6190,37.91658487,-98.1080078,KS20-0094,15 - 30,1.1100000000000001,1.4933458856535065
GMP-Field-51,2020,6190,37.91658487,-98.1080078,KS20-0095,30 - 50,0.82999999999999996,1.4710024678626812
GMP-Field-51,2020,6190,37.91658487,-98.1080078,KS20-0096,50 - 100,0.39000000000000001,1.5844534127898824
GMP-Field-51,2020,6191,37.91551202,-98.10735556,KS20-0097,0 - 15,1.23,1.3947961199755727
GMP-Field-51,2020,6191,37.91551202,-98.10735556,KS20-0098,15 - 30,0.87,1.6459888726036647
GMP-Field-51,2020,6191,37.91551202,-98.10735556,KS20-0099,30 - 50,0.94999999999999996,1.547806332032432
GMP-Field-51,2020,6191,37.91551202,-98.10735556,KS20-0100,50 - 100,0.35999999999999999,1.6480815367237849
GMP-Field-51,2020,6192,37.91542886,-98.10914259,KS20-0101,0 - 15,1.05,1.3675487294222923
GMP-Field-51,2020,6192,37.91542886,-98.10914259,KS20-0102,15 - 30,0.93000000000000005,1.448809941999142
GMP-Field-51,2020,6192,37.91542886,-98.10914259,KS20-0103,30 - 50,0.87,1.4985356272467856
GMP-Field-51,2020,6192,37.91542886,-98.10914259,KS20-0104,50 - 100,0.42999999999999999,1.5705353814220746
GMP-Field-51,2020,6193,37.91542409,-98.10926479,KS20-0105,0 - 15,1.04,1.6589220884536062
GMP-Field-51,2020,6193,37.91542409,-98.10926479,KS20-0106,15 - 30,0.95999999999999996,1.5305070874333668
GMP-Field-51,2020,6193,37.91542409,-98.10926479,KS20-0107,30 - 50,0.85999999999999999,1.5563045522074743
GMP-Field-51,2020,6193,37.91542409,-98.10926479,KS20-0108,50 - 100,0.34999999999999998,1.6168877996890569
GMP-Field-51,2020,6194,37.91507054,-98.1106398,KS20-0109,0 - 15,0.79000000000000004,1.7011952216481583
GMP-Field-51,2020,6194,37.91507054,-98.1106398,KS20-0110,15 - 30,0.53000000000000003,1.6636219454521888
GMP-Field-51,2020,6194,37.91507054,-98.1106398,KS20-0111,30 - 50,0.63,1.5834284448268121
GMP-Field-51,2020,6194,37.91507054,-98.1106398,KS20-0112,50 - 100,0.31,1.6465619682847668
GMP-Field-51,2020,6195,37.9148061,-98.11061932,KS20-0113,0 - 15,0.67000000000000004,1.5576178804931959
GMP-Field-51,2020,6195,37.9148061,-98.11061932,KS20-0114,15 - 30,0.48999999999999999,1.7541897090896705
GMP-Field-51,2020,6195,37.9148061,-98.11061932,KS20-0115,30 - 50,0.70999999999999996,1.6303052163512868
GMP-Field-51,2020,6195,37.9148061,-98.11061932,KS20-0116,50 - 100,0.41999999999999998,1.6762493441269395
GMP-Field-51,2020,6196,37.91463296,-98.11155427,KS20-0117,0 - 15,0.51000000000000001,1.6501564058962908
GMP-Field-51,2020,6196,37.91463296,-98.11155427,KS20-0118,15 - 30,0.56999999999999995,1.6761635061014351
GMP-Field-51,2020,6196,37.91463296,-98.11155427,KS20-0119,30 - 50,0.62,1.6397551702240887
GMP-Field-51,2020,6196,37.91463296,-98.11155427,KS20-0120,50 - 100,0.28999999999999998,1.5996962975323827
GMP-Field-51,2020,6197,37.91571518,-98.11220977,KS20-0121,0 - 15,0.81999999999999995,1.5416373052741046
GMP-Field-51,2020,6197,37.91571518,-98.11220977,KS20-0122,15 - 30,0.80000000000000004,1.5811457524378365
GMP-Field-51,2020,6197,37.91571518,-98.11220977,KS20-0123,30 - 50,0.65000000000000002,1.5535523257823129
GMP-Field-51,2020,6197,37.91571518,-98.11220977,KS20-0124,50 - 100,0.27000000000000002,1.6731132890502809
GMP-Field-51,2020,6198,37.91528821,-98.11405026,KS20-0125,0-25,0.81999999999999995,1.5251829005322759
GMP-Field-51,2020,6198,37.91528821,-98.11405026,KS20-0126,25-50,0.22,1.6188711115457655
GMP-Field-51,2020,6198,37.91528821,-98.11405026,KS20-0127,50-98,0.60999999999999999,1.6985385796018049
GMP-Field-51,2020,6199,37.91474499,-98.11360122,KS20-0128,0 - 15,1.0600000000000001,1.5518305669687611
GMP-Field-51,2020,6199,37.91474499,-98.11360122,KS20-0129,15 - 30,0.91000000000000003,1.5366389020031537
GMP-Field-51,2020,6199,37.91474499,-98.11360122,KS20-0130,30 - 50,0.57999999999999996,1.6288375832266051
GMP-Field-51,2020,6199,37.91474499,-98.11360122,KS20-0131,50 - 100,0.23000000000000001,1.6859663781053356
GMP-Field-51,2020,6200,37.91447372,-98.11374045,KS20-0132,0 - 15,1.1100000000000001,1.4005928423497103
GMP-Field-51,2020,6200,37.91447372,-98.11374045,KS20-0133,15 - 30,0.69999999999999996,1.619270290419967
GMP-Field-51,2020,6200,37.91447372,-98.11374045,KS20-0134,30 - 50,0.45000000000000001,1.6084919876114134
GMP-Field-51,2020,6200,37.91447372,-98.11374045,KS20-0135,50 - 100,0.25,1.6826806687815365
GMP-Field-51,2020,6201,37.91433356,-98.10792509,KS20-0136,0 - 15,1.4299999999999999,1.2892917063889788
GMP-Field-51,2020,6201,37.91433356,-98.10792509,KS20-0137,15 - 30,1.23,1.4521420465135553
GMP-Field-51,2020,6201,37.91433356,-98.10792509,KS20-0138,30 - 50,0.5,1.3721067098263158
